A[4] B[4] Cin[1] S[4] Cout[1]
0000 0000 0 0000 0
0000 0000 1 0001 0
0000 0001 0 0001 0
0000 0001 1 0010 0
0000 0111 0 0111 0
0000 0111 1 1000 0
0000 1000 0 1000 0
0000 1000 1 1001 0
0000 1111 0 1111 0
0000 1111 1 0000 1
0001 0000 0 0001 0
0001 0000 1 0010 0
0001 0001 0 0010 0
0001 0001 1 0011 0
0001 0111 0 1000 0
0001 0111 1 1001 0
0001 1000 0 1001 0
0001 1000 1 1010 0
0001 1111 0 0000 1
0001 1111 1 0001 1
0010 0000 0 0010 0
0010 0000 1 0011 0
0010 0001 0 0011 0
0010 0001 1 0100 0
0010 0111 0 1001 0
0010 0111 1 1010 0
0010 1000 0 1010 0
0010 1000 1 1011 0
0010 1111 0 0001 1
0010 1111 1 0010 1
0011 0000 0 0011 0
0011 0000 1 0100 0
0011 0001 0 0100 0
0011 0001 1 0101 0
0011 0111 0 1010 0
0011 0111 1 1011 0
0011 1000 0 1011 0
0011 1000 1 1100 0
0011 1111 0 0010 1
0011 1111 1 0011 1
0100 0000 0 0100 0
0100 0000 1 0101 0
0100 0001 0 0101 0
0100 0001 1 0110 0
0100 0111 0 1011 0
0100 0111 1 1100 0
0100 1000 0 1100 0
0100 1000 1 1101 0
0100 1111 0 0011 1
0100 1111 1 0100 1
0101 0000 0 0101 0
0101 0000 1 0110 0
0101 0001 0 0110 0
0101 0001 1 0111 0
0101 0111 0 1100 0
0101 0111 1 1101 0
0101 1000 0 1101 0
0101 1000 1 1110 0
0101 1111 0 0100 1
0101 1111 1 0101 1
0110 0000 0 0110 0
0110 0000 1 0111 0
0110 0001 0 0111 0
0110 0001 1 1000 0
0110 0111 0 1101 0
0110 0111 1 1110 0
0110 1000 0 1110 0
0110 1000 1 1111 0
0110 1111 0 0101 1
0110 1111 1 0110 1
0111 0000 0 0111 0
0111 0000 1 1000 0
0111 0001 0 1000 0
0111 0001 1 1001 0
0111 0111 0 1110 0
0111 0111 1 1111 0
0111 1000 0 1111 0
0111 1000 1 0000 1
0111 1111 0 0110 1
0111 1111 1 0111 1
1000 0000 0 1000 0
1000 0000 1 1001 0
1000 0001 0 1001 0
1000 0001 1 1010 0
1000 0111 0 1111 0
1000 0111 1 0000 1
1000 1000 0 0000 1
1000 1000 1 0001 1
1000 1111 0 0111 1
1000 1111 1 1000 1
1001 0000 0 1001 0
1001 0000 1 1010 0
1001 0001 0 1010 0
1001 0001 1 1011 0
1001 0111 0 0000 1
1001 0111 1 0001 1
1001 1000 0 0001 1
1001 1000 1 0010 1
1001 1111 0 1000 1
1001 1111 1 1001 1
1010 0000 0 1010 0
1010 0000 1 1011 0
1010 0001 0 1011 0
1010 0001 1 1100 0
1010 0111 0 0001 1
1010 0111 1 0010 1
1010 1000 0 0010 1
1010 1000 1 0011 1
1010 1111 0 1001 1
1010 1111 1 1010 1
1011 0000 0 1011 0
1011 0000 1 1100 0
1011 0001 0 1100 0
1011 0001 1 1101 0
1011 0111 0 0010 1
1011 0111 1 0011 1
1011 1000 0 0011 1
1011 1000 1 0100 1
1011 1111 0 1010 1
1011 1111 1 1011 1
1100 0000 0 1100 0
1100 0000 1 1101 0
1100 0001 0 1101 0
1100 0001 1 1110 0
1100 0111 0 0011 1
1100 0111 1 0100 1
1100 1000 0 0100 1
1100 1000 1 0101 1
1100 1111 0 1011 1
1100 1111 1 1100 1
1101 0000 0 1101 0
1101 0000 1 1110 0
1101 0001 0 1110 0
1101 0001 1 1111 0
1101 0111 0 0100 1
1101 0111 1 0101 1
1101 1000 0 0101 1
1101 1000 1 0110 1
1101 1111 0 1100 1
1101 1111 1 1101 1
1110 0000 0 1110 0
1110 0000 1 1111 0
1110 0001 0 1111 0
1110 0001 1 0000 1
1110 0111 0 0101 1
1110 0111 1 0110 1
1110 1000 0 0110 1
1110 1000 1 0111 1
1110 1111 0 1101 1
1110 1111 1 1110 1
1111 0000 0 1111 0
1111 0000 1 0000 1
1111 0001 0 0000 1
1111 0001 1 0001 1
1111 0111 0 0110 1
1111 0111 1 0111 1
1111 1000 0 0111 1
1111 1000 1 1000 1
1111 1111 0 1110 1
1111 1111 1 1111 1
